Price,rooms,price_per_m2,level,levels,year,area_total,area_living,area_kitchen,street,area_comfort
47000.0,1.0,1146.0,5.0,16.0,1990.0,41.0,10.0,16.0,Тираспольська,15.0
90000.0,2.0,2195.0,1.0,9.0,1996.3073852295408,41.0,28.0,6.0,Лаврська,7.0
44980.0,1.0,1249.0,19.0,25.0,2017.0,36.0,16.0,14.0,Правди,6.0
58000.0,4.0,921.0,5.0,9.0,1968.0,63.0,40.0,7.0,Миколайчука,16.0
63000.0,3.0,863.0,5.0,9.0,1982.0,73.0,41.0,9.0,Порика,23.0
136000.0,1.0,3022.0,6.0,23.0,2015.0,45.0,15.0,17.0,Маккейна,13.0
73860.0,2.0,1319.0,5.0,9.0,1996.3073852295408,56.0,30.0,9.0,Йорданська,17.0
160000.0,2.0,2712.0,18.0,24.0,2019.0,59.0,42.613882863340564,20.0,Тютюнника,3.6138828633405637
135000.0,3.0,1588.0,8.0,10.0,2015.0,85.0,49.0,12.0,Регенераторна,24.0
120000.0,1.0,2400.0,12.0,23.0,2015.0,50.0,18.0,15.0,Зарічна,17.0
58990.0,1.0,1450.0,3.0,34.0,1996.3073852295408,80.16498316498317,16.0,10.0,Заболотного,54.16498316498317
90000.0,4.0,1059.0,4.0,10.0,1994.0,85.0,42.613882863340564,15.907786885245901,Курнатовського,26.478330251413535
187000.0,3.0,2082.366467958271,2.0,5.0,1934.0,80.16498316498317,42.613882863340564,15.907786885245901,Інститутська,21.643313416396705
88000.0,2.0,1222.0,16.0,25.0,2020.0,72.0,42.613882863340564,15.0,Маланюка,14.386117136659436
102000.0,2.0,1619.0,10.0,16.0,2019.0,63.0,26.0,22.0,Гречка,15.0
110000.0,1.0,1833.0,14.0,24.0,2018.0,60.0,21.0,15.0,Липківського,24.0
160000.0,2.0,3077.0,3.0,24.0,2015.0,52.0,13.0,18.0,Маккейна,21.0
225000.0,5.0,1500.0,23.0,24.0,2008.0,150.0,78.0,18.0,Григоренка,54.0
75000.0,2.0,1562.0,4.0,9.0,1966.0,48.0,30.0,7.0,Коновальця,11.0
59860.0,3.0,798.0,3.0,9.0,1996.3073852295408,75.0,40.0,9.0,Закревського,26.0
43161.0,2.0,732.0,13.0,18.0,1996.3073852295408,59.0,30.0,16.0,Старонаводницька,13.0
140000.0,2.0,1842.0,13.0,18.0,1991.0,76.0,39.0,15.907786885245901,Старонаводницька,21.0922131147541
78000.0,1.0,1418.0,7.0,26.0,1996.3073852295408,55.0,15.0,18.0,Маланюка,22.0
230000.0,2.0,2771.0,6.0,7.0,1915.0,83.0,45.0,11.0,Заньковецької,27.0
178000.0,2.0,2373.0,2.0,16.0,1996.3073852295408,75.0,42.613882863340564,21.0,Кудрявська,11.386117136659436
63000.0,3.0,900.0,23.0,23.0,1996.3073852295408,70.0,35.0,14.0,Українки,21.0
495000.0,3.0,4420.0,11.0,32.0,2017.0,112.0,45.0,54.0,Українки,13.0
45900.0,2.0,478.0,31.0,34.0,1996.3073852295408,96.0,62.0,16.0,Милославська,18.0
33000.0,1.0,1000.0,14.0,24.0,1996.3073852295408,33.0,16.0,5.0,Милославська,12.0
66500.0,3.0,1147.0,3.0,5.0,1961.0,58.0,42.0,7.0,Донця,9.0
119900.0,3.0,1462.0,8.0,12.0,2002.0,82.0,48.0,14.0,Верховинця,20.0
145000.0,4.0,1381.0,1.0,9.0,1977.0,105.0,80.0,12.0,Героїв Дніпра,13.0
118000.0,3.0,1494.0,17.0,25.0,2018.0,79.0,36.0,35.0,Каховська,8.0
41000.0,1.0,1323.0,21.0,26.0,2018.0,31.0,12.0,8.0,Каховська,11.0
59899.0,2.0,1070.0,8.0,10.0,1995.0,56.0,34.0,8.0,Вишняківська,14.0
177000.0,2.0,2565.0,3.0,4.0,1996.3073852295408,69.0,41.0,8.0,Липська,20.0
63000.0,1.0,1286.0,11.0,25.0,2019.0,49.0,16.0,16.0,Сверстюка,17.0
499000.0,3.0,4229.0,9.55521472392638,17.624233128834355,1996.3073852295408,118.0,42.613882863340564,15.907786885245901,Драгомирова,59.47833025141354
49500.0,1.0,1269.0,19.0,26.0,1996.3073852295408,39.0,17.0,11.0,Причальна,11.0
275000.0,2.0,4435.0,22.0,28.0,2013.0,62.0,30.0,20.0,Болсуновська,12.0
93000.0,3.0,1336.0,13.0,14.0,1994.0,80.16498316498317,48.0,15.907786885245901,Повітрофлотський,16.25719627973727
87500.0,2.0,1306.0,20.0,25.0,2015.0,67.0,37.0,14.0,Драгоманова,16.0
110000.0,3.0,1325.0,4.0,24.0,2008.0,83.0,42.613882863340564,30.0,Григоренка,10.386117136659436
900000.0,4.0,3600.0,23.0,24.0,2012.0,250.0,42.613882863340564,15.907786885245901,Дніпровська,191.47833025141352
86000.0,1.0,2205.0,3.0,8.0,2014.0,39.0,42.613882863340564,15.907786885245901,Жабаєва,19.521669748586465
335000.0,3.0,2577.0,9.0,14.0,2014.0,130.0,60.0,60.0,Філатова,10.0
67000.0,2.0,971.0,3.0,26.0,2021.0,69.0,25.0,21.0,Правди,23.0
90000.0,2.0,1800.0,4.0,4.0,1896.0,50.0,42.613882863340564,6.0,Малопідвальна,1.3861171366594363
101500.0,1.0,2307.0,8.0,11.0,1996.3073852295408,44.0,22.0,13.0,Бойчука,9.0
104000.0,3.0,1169.0,18.0,26.0,1996.3073852295408,89.0,42.613882863340564,40.0,Зарічна,6.386117136659436
190000.0,2.0,3167.0,9.0,21.0,2017.0,60.0,42.613882863340564,25.0,Предславинська,7.613882863340564
3600000.0,6.0,8000.0,25.0,25.0,2011.0,450.0,288.0,45.0,Івана Мазепи,117.0
63000.0,2.0,1033.0,10.0,26.0,1996.3073852295408,61.0,28.0,12.0,Радченка,21.0
680000.0,7.0,2369.0,21.0,21.0,2010.0,287.0,177.0,15.907786885245901,Лабораторний,94.0922131147541
139000.0,2.0,1829.0,20.0,21.0,2018.0,76.0,31.0,19.0,Конєва,26.0
347700.0,4.0,1900.0,4.0,25.0,2011.0,183.0,100.0,17.0,Шаповала,66.0
